Experiment,Type,Perplexity,Diversity TTR,Sentiment Accuracy
vanilla_gpt2,vanilla,42.28781159305979,0.12508508180921427,N/A
original_pplm_positive,pplm_bow,39.26255431642315,0.20405518130252182,0.8200000000000001
modified_pplm_positive,pplm_bow,39.82517351282344,0.20471994114928407,0.9199999999999999
original_pplm_negative,pplm_bow,40.23283715717724,0.20525388408768347,0.9400000000000001
modified_pplm_negative,pplm_bow,37.24513765879568,0.20683189174687425,0.9400000000000001
original_pplm_neutral,pplm_bow,40.73883914643595,0.19702987924604445,0.86
modified_pplm_neutral,pplm_bow,39.59052744183309,0.20845656787981479,0.9400000000000001
